"Kod","Nazwa","ludność na 1 km2,2024,[osoba]","gęstość zaludnienia powierzchni zabudowanej i zurbanizowanej (osoby/km2),2024,[osoba]","zmiana liczby ludności na 1000 mieszkańców,2024,[osoba]","ludność w tysiącach,2024,[tys. osób]","ludność w tysiącach mężczyźni,2024,[tys. osób]","ludność w tysiącach kobiety,2024,[tys. osób]","wskaźnik urbanizacji,2024,[%]",
0000000,"POLSKA",119.4,2021,-3.9,37489.09,18107.03,19382.06,59.4,
0200000,"DOLNOŚLĄSKIE",143.8,1884,-3.8,2868.24,1377.85,1490.39,67.1,
0201000,"Powiat bolesławiecki",66.9,,-4.4,87.26,42.24,45.01,46.8,
0201011,"Bolesławiec (1)",1610.3,,-7.0,36.80,17.08,19.71,100.0,
0201022,"Bolesławiec (2)",53.1,,6.0,15.36,7.67,7.69,0.0,
0201032,"Gromadka (2)",18.6,,-5.0,4.98,2.50,2.48,0.0,
0201043,"Nowogrodziec (3)",82.2,,-6.8,14.52,7.23,7.29,27.9,
0201044,"Nowogrodziec - miasto (4)",251.6,,-12.7,4.05,1.99,2.06,100.0,
0201045,"Nowogrodziec - obszar wiejski (5)",65.2,,-4.5,10.47,5.24,5.23,0.0,
0201052,"Osiecznica (2)",16.5,,-11.8,7.20,3.62,3.58,0.0,
0201062,"Warta Bolesławiecka (2)",76.0,,-1.1,8.40,4.15,4.26,0.0,
0202000,"Powiat dzierżoniowski",196.2,,-9.3,93.86,44.50,49.37,78.1,
0202011,"Bielawa (1)",765.3,,-11.2,27.71,12.91,14.81,100.0,
0202021,"Dzierżoniów (1)",1510.3,,-9.9,30.31,14.10,16.21,100.0,
0202033,"Pieszyce (3)",139.5,,-3.1,8.88,4.29,4.59,76.0,
0202034,"Pieszyce - miasto (4)",380.9,,-2.2,6.75,3.20,3.55,100.0,
0202035,"Pieszyce - obszar wiejski (5)",46.3,,-6.1,2.13,1.09,1.04,0.0,
0202041,"Piława Górna (1)",279.4,,-9.7,5.85,2.81,3.04,100.0,
0202052,"Dzierżoniów (2)",64.6,,-4.7,9.11,4.51,4.60,0.0,
0202062,"Łagiewniki (2)",56.4,,-11.9,7.03,3.45,3.58,0.0,
0202073,"Niemcza (3)",69.2,,-9.6,4.97,2.42,2.55,53.3,
0202074,"Niemcza - miasto (4)",133.8,,-12.3,2.65,1.30,1.35,100.0,
0202075,"Niemcza - obszar wiejski (5)",44.6,,-6.4,2.32,1.12,1.20,0.0,
0203000,"Powiat głogowski",190.4,,-7.7,84.39,40.82,43.56,72.5,
0203011,"Głogów (1)",1742.8,,-13.6,61.21,29.22,31.99,100.0,
0203022,"Głogów (2)",85.6,,7.4,7.26,3.63,3.64,0.0,
0203032,"Jerzmanowa (2)",94.5,,17.7,5.98,2.98,3.00,0.0,
0203042,"Kotla (2)",34.6,,0.7,4.41,2.20,2.21,0.0,
0203052,"Pęcław (2)",33.1,,11.4,2.13,1.08,1.05,0.0,
0203062,"Żukowice (2)",49.8,,0.9,3.40,1.72,1.68,0.0,
0204000,"Powiat górowski",43.4,,-12.5,32.05,15.86,16.19,41.0,
0204013,"Góra (3)",68.8,,-8.9,18.29,8.99,9.30,58.1,
0204014,"Góra - miasto (4)",778.2,,-7.2,10.62,5.07,5.56,100.0,
0204015,"Góra - obszar wiejski (5)",30.4,,-11.2,7.67,3.92,3.75,0.0,
0204022,"Jemielno (2)",21.3,,-30.5,2.64,1.33,1.31,0.0,
0204032,"Niechlów (2)",29.5,,-13.1,4.45,2.24,2.21,0.0,
0204043,"Wąsosz (3)",33.8,,-14.6,6.67,3.30,3.37,37.6,
0204044,"Wąsosz - miasto (4)",772.3,,-16.1,2.51,1.21,1.30,100.0,
0204045,"Wąsosz - obszar wiejski (5)",21.5,,-13.8,4.16,2.09,2.07,0.0,
0205000,"Powiat jaworski",80.6,,-8.3,46.82,22.91,23.91,53.2,
0205011,"Jawor (1)",1079.7,,-10.0,20.30,9.71,10.59,100.0,
0205023,"Bolków (3)",62.3,,-9.4,9.50,4.66,4.84,48.4,
0205024,"Bolków - miasto (4)",598.3,,-6.7,4.60,2.19,2.42,100.0,
0205025,"Bolków - obszar wiejski (5)",33.8,,-11.9,4.90,2.47,2.42,0.0,
0205032,"Męcinka (2)",35.3,,0.6,5.22,2.59,2.63,0.0,
0205042,"Mściwojów (2)",54.9,,-9.6,3.94,1.99,1.95,0.0,
0205052,"Paszowice (2)",41.3,,-4.3,4.18,2.10,2.08,0.0,
0205062,"Wądroże Wielkie (2)",41.3,,-11.6,3.68,1.86,1.82,0.0,
0206000,"Powiat karkonoski",95.5,,-9.5,59.86,28.85,31.01,41.6,
0206011,"Karpacz (1)",109.0,,-16.2,4.14,1.91,2.23,100.0,
0206021,"Kowary (1)",254.6,,-23.1,9.52,4.49,5.03,100.0,
0206031,"Piechowice (1)",131.3,,-13.1,5.67,2.72,2.95,100.0,
0206041,"Szklarska Poręba (1)",74.1,,-32.6,5.59,2.64,2.95,100.0,
0206052,"Janowice Wielkie (2)",69.9,,0.3,4.05,2.03,2.02,0.0,
0206062,"Jeżów Sudecki (2)",84.9,,13.2,8.00,3.89,4.11,0.0,
0206072,"Mysłakowice (2)",108.5,,-9.9,9.55,4.67,4.88,0.0,
0206082,"Podgórzyn (2)",98.3,,-0.5,8.11,3.95,4.16,0.0,
0206092,"Stara Kamienica (2)",47.4,,-4.6,5.24,2.55,2.69,0.0,
0207000,"Powiat kamiennogórski",100.8,,-11.0,39.88,19.40,20.48,55.9,
0207011,"Kamienna Góra (1)",933.4,,-15.9,16.84,8.01,8.82,100.0,
0207022,"Kamienna Góra (2)",55.8,,-2.5,8.82,4.39,4.43,0.0,
0207033,"Lubawka (3)",72.5,,-13.7,10.00,4.88,5.12,54.7,
0207034,"Lubawka - miasto (4)",243.7,,-12.1,5.47,2.60,2.87,100.0,
0207035,"Lubawka - obszar wiejski (5)",39.2,,-15.6,4.54,2.28,2.25,0.0,
0207042,"Marciszów (2)",51.7,,-2.6,4.22,2.11,2.10,0.0,
0208000,"Powiat kłodzki",88.4,,-11.6,145.24,69.81,75.44,62.9,
0208011,"Duszniki-Zdrój (1)",175.4,,-23.5,3.91,1.82,2.09,100.0,
0208021,"Kłodzko (1)",986.4,,-12.4,24.50,11.44,13.06,100.0,
0208031,"Kudowa-Zdrój (1)",269.8,,-14.6,9.15,4.33,4.82,100.0,
0208041,"Nowa Ruda (1)",542.5,,-15.7,20.10,9.63,10.47,100.0,
0208051,"Polanica-Zdrój (1)",336.8,,-23.1,5.80,2.61,3.19,100.0,
0208063,"Bystrzyca Kłodzka (3)",50.4,,-7.7,17.07,8.26,8.81,51.6,
0208064,"Bystrzyca Kłodzka - miasto (4)",819.6,,-15.3,8.80,4.07,4.73,100.0,
0208065,"Bystrzyca Kłodzka - obszar wiejski (5)",25.2,,0.5,8.27,4.19,4.08,0.0,
0208072,"Kłodzko (2)",64.6,,-6.7,16.37,8.04,8.33,0.0,
0208083,"Lądek-Zdrój (3)",62.9,,-11.9,7.38,3.57,3.81,65.9,
0208084,"Lądek-Zdrój - miasto (4)",239.3,,-17.0,4.86,2.29,2.57,100.0,
0208085,"Lądek-Zdrój - obszar wiejski (5)",26.0,,-2.0,2.52,1.28,1.24,0.0,
0208092,"Lewin Kłodzki (2)",37.3,,-5.1,1.95,0.96,0.99,0.0,
0208103,"Międzylesie (3)",35.5,,-9.0,6.70,3.36,3.34,35.1,
0208104,"Międzylesie - miasto (4)",163.7,,-9.3,2.35,1.15,1.21,100.0,
0208105,"Międzylesie - obszar wiejski (5)",24.9,,-8.9,4.34,2.21,2.13,0.0,
0208112,"Nowa Ruda (2)",75.0,,-10.1,10.48,5.17,5.31,0.0,
0208123,"Radków (3)",59.5,,-9.9,8.33,4.15,4.18,26.5,
0208124,"Radków - miasto (4)",146.6,,-16.0,2.21,1.07,1.14,100.0,
0208125,"Radków - obszar wiejski (5)",49.0,,-7.6,6.12,3.08,3.04,0.0,
0208133,"Stronie Śląskie (3)",45.9,,-8.3,6.70,3.20,3.51,73.3,
0208134,"Stronie Śląskie - miasto (4)",2054.4,,-16.4,4.91,2.28,2.63,100.0,
0208135,"Stronie Śląskie - obszar wiejski (5)",12.5,,14.7,1.79,0.92,0.88,0.0,
0208143,"Szczytna (3)",51.5,,-9.5,6.81,3.29,3.53,69.6,
0208144,"Szczytna - miasto (4)",59.0,,-9.6,4.74,2.27,2.48,100.0,
0208145,"Szczytna - obszar wiejski (5)",39.8,,-9.1,2.07,1.02,1.05,0.0,
0209000,"Powiat legnicki",73.9,,-1.2,54.97,26.88,28.09,28.6,
0209011,"Chojnów (1)",2301.3,,-9.6,12.24,5.78,6.46,100.0,
0209022,"Chojnów (2)",40.8,,-5.2,9.43,4.70,4.73,0.0,
0209032,"Krotoszyce (2)",49.1,,-9.3,3.31,1.66,1.65,0.0,
0209042,"Kunice (2)",84.0,,6.0,7.78,3.85,3.93,0.0,
0209052,"Legnickie Pole (2)",62.7,,3.6,5.35,2.57,2.78,0.0,
0209062,"Miłkowice (2)",85.6,,23.0,7.40,3.67,3.73,0.0,
0209073,"Prochowice (3)",68.9,,-10.0,7.06,3.45,3.61,49.1,
0209074,"Prochowice - miasto (4)",352.3,,-7.4,3.47,1.67,1.80,100.0,
0209075,"Prochowice - obszar wiejski (5)",38.8,,-12.4,3.59,1.78,1.81,0.0,
0209082,"Ruja (2)",32.6,,-11.2,2.39,1.20,1.19,0.0,
0210000,"Powiat lubański",118.9,,-9.8,50.91,24.61,26.30,61.7,
0210011,"Lubań (1)",1194.6,,-14.7,19.26,9.06,10.20,100.0,
0210021,"Świeradów-Zdrój (1)",188.5,,-13.6,3.91,1.83,2.07,100.0,
0210033,"Leśna (3)",87.7,,-9.9,9.17,4.50,4.67,43.0,
0210034,"Leśna - miasto (4)",460.5,,-13.3,3.94,1.91,2.03,100.0,
0210035,"Leśna - obszar wiejski (5)",54.4,,-7.4,5.23,2.59,2.64,0.0,
0210042,"Lubań (2)",45.4,,1.2,6.46,3.19,3.28,0.0,
0210053,"Olszyna (3)",132.9,,-1.0,6.26,3.11,3.16,68.4,
0210054,"Olszyna - miasto (4)",210.9,,-1.4,4.28,2.08,2.21,100.0,
0210055,"Olszyna - obszar wiejski (5)",73.8,,0.0,1.98,1.03,0.95,0.0,
0210062,"Platerówka (2)",31.0,,-18.5,1.49,0.75,0.74,0.0,
0210072,"Siekierczyn (2)",88.2,,-9.3,4.37,2.18,2.19,0.0,
0211000,"Powiat lubiński",143.9,,-4.8,102.38,49.11,53.27,70.4,
0211011,"Lubin (1)",1640.4,,-11.2,66.86,31.43,35.44,100.0,
0211022,"Lubin (2)",64.9,,18.7,18.81,9.43,9.38,0.0,
0211032,"Rudna (2)",34.3,,-0.1,7.43,3.67,3.76,0.0,
0211043,"Ścinawa (3)",56.4,,-9.0,9.27,4.59,4.69,56.4,
0211044,"Ścinawa - miasto (4)",386.2,,-4.2,5.23,2.55,2.68,100.0,
0211045,"Ścinawa - obszar wiejski (5)",26.8,,-15.1,4.04,2.03,2.01,0.0,
0212000,"Powiat lwówecki",59.8,,-8.2,42.47,20.70,21.76,49.4,
0212013,"Gryfów Śląski (3)",135.6,,-5.4,9.04,4.27,4.77,67.1,
0212014,"Gryfów Śląski - miasto (4)",914.2,,-7.0,6.06,2.80,3.26,100.0,
0212015,"Gryfów Śląski - obszar wiejski (5)",49.6,,-2.0,2.98,1.47,1.51,0.0,
0212023,"Lubomierz (3)",42.9,,-5.2,5.59,2.79,2.80,31.7,
0212024,"Lubomierz - miasto (4)",220.1,,-1.7,1.77,0.85,0.92,100.0,
0212025,"Lubomierz - obszar wiejski (5)",31.2,,-6.8,3.82,1.95,1.87,0.0,
0212033,"Lwówek Śląski (3)",66.2,,-11.2,15.91,7.78,8.13,50.4,
0212034,"Lwówek Śląski - miasto (4)",481.7,,-14.4,8.02,3.81,4.20,100.0,
0212035,"Lwówek Śląski - obszar wiejski (5)",35.3,,-7.9,7.89,3.97,3.92,0.0,
0212043,"Mirsk (3)",43.2,,-7.4,8.07,3.94,4.13,44.0,
0212044,"Mirsk - miasto (4)",242.2,,-18.8,3.55,1.71,1.85,100.0,
0212045,"Mirsk - obszar wiejski (5)",26.3,,1.8,4.52,2.23,2.28,0.0,
0212053,"Wleń (3)",45.0,,-8.7,3.87,1.92,1.95,40.5,
0212054,"Wleń - miasto (4)",216.6,,-3.2,1.56,0.74,0.82,100.0,
0212055,"Wleń - obszar wiejski (5)",29.2,,-12.4,2.30,1.18,1.12,0.0,
0213000,"Powiat milicki",49.5,,-5.8,35.40,17.45,17.94,30.0,
0213012,"Cieszków (2)",45.2,,-0.9,4.56,2.28,2.28,0.0,
0213022,"Krośnice (2)",44.5,,-5.0,7.94,4.00,3.94,0.0,
0213033,"Milicz (3)",52.6,,-7.1,22.90,11.17,11.73,46.3,
0213034,"Milicz - miasto (4)",785.0,,-15.3,10.61,5.00,5.61,100.0,
0213035,"Milicz - obszar wiejski (5)",29.1,,0.2,12.29,6.17,6.12,0.0,
0214000,"Powiat oleśnicki",101.7,,1.8,106.71,52.07,54.63,54.0,
0214011,"Oleśnica (1)",1665.7,,-6.2,34.91,16.53,18.39,100.0,
0214023,"Bierutów (3)",62.6,,-11.0,9.19,4.47,4.72,48.1,
0214024,"Bierutów - miasto (4)",528.5,,-9.2,4.42,2.07,2.35,100.0,
0214025,"Bierutów - obszar wiejski (5)",34.5,,-12.6,4.78,2.40,2.38,0.0,
0214032,"Dobroszyce (2)",56.2,,20.2,7.41,3.68,3.73,0.0,
0214042,"Dziadowa Kłoda (2)",43.5,,-0.2,4.58,2.29,2.29,0.0,
0214053,"Międzybórz (3)",56.7,,-8.2,4.97,2.49,2.48,46.1,
0214054,"Międzybórz - miasto (4)",357.6,,-9.5,2.29,1.11,1.18,100.0,
0214055,"Międzybórz - obszar wiejski (5)",33.0,,-7.0,2.68,1.38,1.30,0.0,
0214062,"Oleśnica (2)",68.5,,26.4,16.64,8.42,8.22,0.0,
0214073,"Syców (3)",113.6,,1.9,16.53,8.03,8.50,60.0,
0214074,"Syców - miasto (4)",581.5,,-1.8,9.92,4.79,5.13,100.0,
0214075,"Syców - obszar wiejski (5)",51.5,,7.6,6.61,3.24,3.37,0.0,
0214083,"Twardogóra (3)",74.3,,-4.3,12.47,6.17,6.30,49.0,
0214084,"Twardogóra - miasto (4)",737.2,,-10.7,6.11,2.94,3.17,100.0,
0214085,"Twardogóra - obszar wiejski (5)",39.8,,1.9,6.36,3.23,3.13,0.0,
0215000,"Powiat oławski",147.7,,-0.5,77.39,37.61,39.78,62.0,
0215011,"Oława (1)",1209.3,,-2.4,33.09,15.74,17.35,100.0,
0215022,"Domaniów (2)",51.4,,-12.4,4.85,2.43,2.43,0.0,
0215033,"Jelcz-Laskowice (3)",141.7,,1.6,23.75,11.62,12.13,62.8,
0215034,"Jelcz-Laskowice - miasto (4)",874.1,,-6.1,14.91,7.20,7.71,100.0,
0215035,"Jelcz-Laskowice - obszar wiejski (5)",58.7,,15.0,8.84,4.42,4.42,0.0,
0215042,"Oława (2)",66.9,,3.9,15.70,7.82,7.87,0.0,
0216000,"Powiat polkowicki",78.1,,-4.5,60.91,29.96,30.96,55.6,
0216013,"Chocianów (3)",55.6,,-4.4,12.32,6.01,6.31,59.0,
0216014,"Chocianów - miasto (4)",807.8,,-11.7,7.27,3.49,3.78,100.0,
0216015,"Chocianów - obszar wiejski (5)",23.8,,6.2,5.05,2.53,2.53,0.0,
0216022,"Gaworzyce (2)",48.9,,-4.0,3.75,1.85,1.90,0.0,
0216032,"Grębocice (2)",43.5,,0.9,5.30,2.69,2.61,0.0,
0216043,"Polkowice (3)",159.2,,-5.2,26.70,13.02,13.68,79.0,
0216044,"Polkowice - miasto (4)",888.4,,-12.2,21.09,10.23,10.86,100.0,
0216045,"Polkowice - obszar wiejski (5)",39.0,,22.1,5.61,2.79,2.82,0.0,
0216053,"Przemków (3)",71.4,,-16.9,7.70,3.81,3.88,71.5,
0216054,"Przemków - miasto (4)",892.4,,-16.4,5.51,2.71,2.80,100.0,
0216055,"Przemków - obszar wiejski (5)",21.5,,-17.9,2.19,1.10,1.09,0.0,
0216062,"Radwanice (2)",61.2,,11.8,5.15,2.57,2.58,0.0,
0217000,"Powiat strzeliński",66.7,,-7.4,41.47,20.41,21.07,33.9,
0217012,"Borów (2)",50.6,,-5.4,4.99,2.48,2.51,0.0,
0217022,"Kondratowice (2)",40.0,,-13.6,3.93,2.00,1.93,0.0,
0217032,"Przeworno (2)",39.9,,-8.2,4.47,2.20,2.27,0.0,
0217043,"Strzelin (3)",124.6,,-4.8,21.35,10.35,10.99,55.5,
0217044,"Strzelin - miasto (4)",929.4,,-8.0,11.84,5.58,6.26,100.0,
0217045,"Strzelin - obszar wiejski (5)",59.9,,-0.8,9.51,4.77,4.74,0.0,
0217053,"Wiązów (3)",47.6,,-12.9,6.74,3.38,3.37,33.1,
0217054,"Wiązów - miasto (4)",243.8,,-9.3,2.23,1.07,1.16,100.0,
0217055,"Wiązów - obszar wiejski (5)",34.0,,-14.6,4.51,2.30,2.21,0.0,
0218000,"Powiat średzki",84.8,,10.8,59.71,29.54,30.18,19.5,
0218012,"Kostomłoty (2)",49.0,,-1.5,7.15,3.52,3.63,0.0,
0218022,"Malczyce (2)",106.8,,-13.3,5.63,2.81,2.82,0.0,
0218033,"Miękinia (3)",124.8,,36.6,22.40,11.16,11.25,9.6,
0218034,"Miękinia - miasto (4)",194.6,,26.7,2.15,1.05,1.10,100.0,
0218035,"Miękinia - obszar wiejski (5)",120.2,,37.6,20.25,10.11,10.14,0.0,
0218043,"Środa Śląska (3)",91.9,,0.0,19.77,9.68,10.09,48.1,
0218044,"Środa Śląska - miasto (4)",637.2,,-2.1,9.52,4.51,5.01,100.0,
0218045,"Środa Śląska - obszar wiejski (5)",51.2,,2.0,10.25,5.17,5.09,0.0,
0218052,"Udanin (2)",42.9,,-14.1,4.76,2.37,2.39,0.0,
0219000,"Powiat świdnicki",201.4,,-7.3,149.31,71.86,77.46,66.9,
0219011,"Świdnica (1)",2392.0,,-15.6,52.05,24.40,27.65,100.0,
0219021,"Świebodzice (1)",710.7,,-7.8,21.63,10.33,11.30,100.0,
0219032,"Dobromierz (2)",56.3,,-11.0,4.85,2.43,2.42,0.0,
0219043,"Jaworzyna Śląska (3)",151.9,,2.3,10.26,5.03,5.23,48.9,
0219044,"Jaworzyna Śląska - miasto (4)",1155.5,,-4.0,5.02,2.45,2.57,100.0,
0219045,"Jaworzyna Śląska - obszar wiejski (5)",83.0,,8.3,5.24,2.58,2.66,0.0,
0219052,"Marcinowice (2)",66.9,,2.7,6.38,3.15,3.23,0.0,
0219063,"Strzegom (3)",165.9,,-4.8,24.00,11.64,12.36,61.7,
0219064,"Strzegom - miasto (4)",722.9,,-8.5,14.81,7.04,7.78,100.0,
0219065,"Strzegom - obszar wiejski (5)",74.0,,1.3,9.18,4.60,4.58,0.0,
0219072,"Świdnica (2)",87.2,,6.5,18.11,8.97,9.15,0.0,
0219083,"Żarów (3)",137.0,,-7.5,12.04,5.91,6.12,52.6,
0219084,"Żarów - miasto (4)",836.7,,-14.0,6.33,3.06,3.28,100.0,
0219085,"Żarów - obszar wiejski (5)",71.0,,-0.2,5.70,2.85,2.85,0.0,
0220000,"Powiat trzebnicki",85.6,,1.5,87.77,43.01,44.76,35.1,
0220013,"Oborniki Śląskie (3)",136.9,,1.6,21.12,10.33,10.80,42.2,
0220014,"Oborniki Śląskie - miasto (4)",618.6,,-8.5,8.91,4.23,4.68,100.0,
0220015,"Oborniki Śląskie - obszar wiejski (5)",87.3,,9.1,12.21,6.09,6.12,0.0,
0220023,"Prusice (3)",58.6,,-4.8,9.26,4.64,4.62,22.7,
0220024,"Prusice - miasto (4)",192.1,,-19.6,2.10,1.01,1.09,100.0,
0220025,"Prusice - obszar wiejski (5)",48.7,,-0.4,7.16,3.63,3.52,0.0,
0220033,"Trzebnica (3)",125.4,,-2.3,25.08,12.10,12.98,54.1,
0220034,"Trzebnica - miasto (4)",1279.5,,-5.9,13.58,6.37,7.21,100.0,
0220035,"Trzebnica - obszar wiejski (5)",60.7,,1.9,11.50,5.73,5.77,0.0,
0220042,"Wisznia Mała (2)",119.1,,15.9,12.31,6.07,6.23,0.0,
0220052,"Zawonia (2)",50.1,,3.8,5.89,2.94,2.95,0.0,
0220063,"Żmigród (3)",48.4,,-1.1,14.12,6.92,7.19,43.9,
0220064,"Żmigród - miasto (4)",652.6,,2.6,6.19,2.99,3.21,100.0,
0220065,"Żmigród - obszar wiejski (5)",28.1,,-4.0,7.92,3.94,3.99,0.0,
0221000,"Powiat wałbrzyski",121.5,,-7.2,52.28,25.13,27.14,63.8,
0221011,"Boguszów-Gorce (1)",521.1,,-6.1,14.08,6.72,7.36,100.0,
0221021,"Jedlina-Zdrój (1)",262.5,,-9.7,4.58,2.15,2.43,100.0,
0221031,"Szczawno-Zdrój (1)",349.8,,-11.5,5.18,2.43,2.75,100.0,
0221042,"Czarny Bór (2)",71.0,,-8.4,4.72,2.33,2.39,0.0,
0221053,"Głuszyca (3)",127.8,,-14.0,7.95,3.81,4.14,73.3,
0221054,"Głuszyca - miasto (4)",359.6,,-16.0,5.83,2.76,3.07,100.0,
0221055,"Głuszyca - obszar wiejski (5)",46.2,,-8.4,2.12,1.05,1.07,0.0,
0221063,"Mieroszów (3)",80.3,,-16.6,6.10,2.96,3.14,60.3,
0221064,"Mieroszów - miasto (4)",356.2,,-14.2,3.68,1.79,1.89,100.0,
0221065,"Mieroszów - obszar wiejski (5)",36.9,,-20.2,2.42,1.17,1.25,0.0,
0221072,"Stare Bogaczowice (2)",49.8,,12.1,4.34,2.14,2.21,0.0,
0221082,"Walim (2)",67.3,,2.8,5.33,2.60,2.73,0.0,
0222000,"Powiat wołowski",66.8,,-7.6,45.11,22.06,23.05,53.9,
0222013,"Brzeg Dolny (3)",169.4,,-8.5,15.99,7.71,8.28,77.5,
0222014,"Brzeg Dolny - miasto (4)",666.8,,-11.3,12.40,5.88,6.52,100.0,
0222015,"Brzeg Dolny - obszar wiejski (5)",47.4,,1.1,3.60,1.83,1.77,0.0,
0222022,"Wińsko (2)",31.2,,-12.2,7.79,3.84,3.95,0.0,
0222033,"Wołów (3)",64.4,,-5.3,21.33,10.51,10.82,56.0,
0222034,"Wołów - miasto (4)",644.1,,-5.7,11.94,5.77,6.17,100.0,
0222035,"Wołów - obszar wiejski (5)",30.0,,-4.8,9.39,4.74,4.65,0.0,
0223000,"Powiat wrocławski",171.0,,21.1,191.11,93.74,97.37,13.4,
0223012,"Czernica (2)",298.2,,40.0,24.93,12.27,12.66,0.0,
0223022,"Długołęka (2)",211.0,,21.8,44.93,22.17,22.76,0.0,
0223032,"Jordanów Śląski (2)",57.7,,0.6,3.28,1.62,1.66,0.0,
0223043,"Kąty Wrocławskie (3)",173.6,,15.6,30.67,15.09,15.58,23.2,
0223044,"Kąty Wrocławskie - miasto (4)",827.8,,-5.7,7.13,3.41,3.72,100.0,
0223045,"Kąty Wrocławskie - obszar wiejski (5)",140.1,,22.2,23.55,11.68,11.87,0.0,
0223052,"Kobierzyce (2)",170.4,,17.8,25.42,12.34,13.08,0.0,
0223062,"Mietków (2)",45.1,,-18.5,3.76,1.85,1.91,0.0,
0223073,"Sobótka (3)",95.9,,6.2,13.08,6.38,6.69,54.1,
0223074,"Sobótka - miasto (4)",219.8,,7.7,7.08,3.36,3.72,100.0,
0223075,"Sobótka - obszar wiejski (5)",57.6,,4.5,6.00,3.02,2.98,0.0,
0223083,"Siechnice (3)",313.7,,26.1,31.00,15.13,15.88,36.7,
0223084,"Siechnice - miasto (4)",726.3,,34.1,11.37,5.45,5.92,100.0,
0223085,"Siechnice - obszar wiejski (5)",236.1,,21.5,19.64,9.68,9.96,0.0,
0223092,"Żórawina (2)",116.8,,23.6,14.04,6.90,7.15,0.0,
0224000,"Powiat ząbkowicki",74.6,,-12.5,59.80,28.97,30.83,51.6,
0224013,"Bardo (3)",66.5,,-18.4,4.87,2.39,2.47,46.8,
0224014,"Bardo - miasto (4)",483.2,,-14.3,2.28,1.10,1.18,100.0,
0224015,"Bardo - obszar wiejski (5)",37.8,,-21.9,2.59,1.30,1.29,0.0,
0224022,"Ciepłowody (2)",36.1,,-21.1,2.78,1.40,1.38,0.0,
0224033,"Kamieniec Ząbkowicki (3)",76.3,,-7.2,7.36,3.62,3.74,58.3,
0224034,"Kamieniec Ząbkowicki - miasto (4)",330.3,,-4.2,4.29,2.07,2.23,100.0,
0224035,"Kamieniec Ząbkowicki - obszar wiejski (5)",36.8,,-11.3,3.07,1.56,1.51,0.0,
0224042,"Stoszowice (2)",46.0,,-10.1,5.08,2.49,2.60,0.0,
0224053,"Ząbkowice Śląskie (3)",139.4,,-11.3,20.41,9.66,10.75,68.8,
0224054,"Ząbkowice Śląskie - miasto (4)",1027.2,,-14.6,14.03,6.50,7.53,100.0,
0224055,"Ząbkowice Śląskie - obszar wiejski (5)",48.0,,-4.1,6.38,3.16,3.22,0.0,
0224063,"Ziębice (3)",68.9,,-12.9,15.35,7.50,7.86,51.2,
0224064,"Ziębice - miasto (4)",521.6,,-14.5,7.87,3.72,4.14,100.0,
0224065,"Ziębice - obszar wiejski (5)",36.1,,-11.2,7.49,3.77,3.71,0.0,
0224073,"Złoty Stok (3)",52.6,,-16.9,3.96,1.91,2.04,60.1,
0224074,"Złoty Stok - miasto (4)",307.6,,-22.2,2.38,1.12,1.26,100.0,
0224075,"Złoty Stok - obszar wiejski (5)",23.4,,-8.8,1.58,0.79,0.79,0.0,
0225000,"Powiat zgorzelecki",100.6,,-9.4,84.34,40.81,43.53,66.5,
0225011,"Zawidów (1)",614.3,,-8.5,3.73,1.75,1.98,100.0,
0225021,"Zgorzelec (1)",1792.6,,-16.1,28.47,13.35,15.12,100.0,
0225033,"Bogatynia (3)",154.5,,-11.5,21.04,10.32,10.72,75.4,
0225034,"Bogatynia - miasto (4)",264.5,,-10.5,15.85,7.66,8.20,100.0,
0225035,"Bogatynia - obszar wiejski (5)",68.0,,-14.5,5.18,2.66,2.53,0.0,
0225043,"Pieńsk (3)",78.6,,-9.0,8.63,4.23,4.40,62.6,
0225044,"Pieńsk - miasto (4)",544.6,,-9.5,5.40,2.60,2.80,100.0,
0225045,"Pieńsk - obszar wiejski (5)",32.3,,-8.0,3.23,1.62,1.60,0.0,
0225052,"Sulików (2)",61.4,,-1.0,5.80,2.89,2.91,0.0,
0225063,"Węgliniec (3)",22.7,,-9.4,7.70,3.81,3.89,34.2,
0225064,"Węgliniec - miasto (4)",301.8,,-11.3,2.63,1.29,1.35,100.0,
0225065,"Węgliniec - obszar wiejski (5)",15.3,,-8.4,5.07,2.52,2.54,0.0,
0225072,"Zgorzelec (2)",65.5,,10.8,8.98,4.48,4.51,0.0,
0226000,"Powiat złotoryjski",69.8,,-9.9,40.21,19.63,20.58,48.1,
0226011,"Wojcieszów (1)",104.9,,-15.7,3.38,1.64,1.74,100.0,
0226021,"Złotoryja (1)",1216.3,,-11.9,14.00,6.61,7.39,100.0,
0226032,"Pielgrzymka (2)",39.5,,-19.9,4.15,2.09,2.06,0.0,
0226043,"Świerzawa (3)",43.5,,-5.2,6.96,3.48,3.48,28.4,
0226044,"Świerzawa - miasto (4)",1125.0,,-11.5,1.98,0.96,1.02,100.0,
0226045,"Świerzawa - obszar wiejski (5)",31.5,,-2.6,4.98,2.52,2.46,0.0,
0226052,"Zagrodno (2)",39.3,,-3.7,4.81,2.40,2.41,0.0,
0226062,"Złotoryja (2)",47.7,,-6.2,6.93,3.43,3.50,0.0,
0261000,"Powiat m. Jelenia Góra",678.8,,-12.4,74.19,34.32,39.88,100.0,
